feature,rf_importance,mutual_information,permutation_importance,rank_rf,rank_mi,rank_perm,rank_promedio
peso_cama_5cm_g,0.2191089349219703,1.7193311936265228,3.6742564102564104,1.0,1.0,1.0,1.0
peso_cama_10cm_g,0.18346446417015802,1.4684307052260346,2.511743589743589,2.0,2.0,2.0,2.0
acel_y_g,0.16726653891455598,1.1618678236631526,2.077128205128205,3.0,3.0,3.0,3.0
acel_z_g,0.06605627199152586,0.9343223990023428,0.5513589743589746,4.0,4.0,4.0,4.0
temperatura_c,0.02514258120673097,0.7382877712369464,0.17100000000000032,7.0,5.0,7.0,6.333333333333333
cold_lbp_40_5,0.031694889631630634,0.510737223494091,0.2343076923076925,5.0,10.0,5.0,6.666666666666667
img_lbp_4,0.02068104377453832,0.5735280651310863,0.12466666666666688,8.0,7.0,8.0,7.666666666666667
conductividad_us_cm,0.02673412233875592,0.48919034088951663,0.19958974358974366,6.0,11.5,6.0,7.833333333333333
salud,0.012761676758452916,0.5790107274635943,0.0709487179487183,10.0,6.0,11.0,9.0
nitrogeno_mg_kg,0.01411495349467479,0.48919034088951663,0.10441025641025682,9.0,11.5,9.0,9.833333333333334
humedad_pct,0.01274867102777285,0.5343468977036105,0.10307692307692326,11.0,9.0,10.0,10.0
cold_lbp_40_4,0.010285311778670904,0.47006304724299164,0.053923076923077184,12.0,13.0,13.0,12.666666666666666
cold_lbp_25_4,0.006993709863671702,0.4674201772924298,0.037692307692307955,16.0,14.0,22.0,17.333333333333332
potasio_mg_kg,0.006891124615189129,0.3404058332356479,0.05120512820512844,19.0,22.0,15.0,18.666666666666668
cold_lbp_30_5,0.008462679210637212,0.3074663490693703,0.04379487179487196,13.0,26.0,18.0,19.0
cold_lbp_25_0,0.00827469972084756,0.17820155129272486,0.06300000000000035,14.0,42.0,12.0,22.666666666666668
cold_lbp_35_13,0.006912815627508239,0.24578153933474023,0.05002564102564117,18.0,35.0,16.0,23.0
cold_lbp_30_0,0.004857617924830186,0.2956546070882431,0.038205128205128405,24.0,27.0,21.0,24.0
cold_lbp_35_4,0.00642073838155682,0.2850351477920152,0.02810256410256445,20.0,29.0,25.0,24.666666666666668
ph,0.004727446100609567,0.28327875365887767,0.039820512820513174,26.0,30.0,19.0,25.0
cold_lbp_40_3,0.007221585459027603,0.1612162889960791,0.047769230769230994,15.0,44.0,17.0,25.333333333333332
img_lbp_5,0.0060801938748784095,0.2606046637461461,0.032051282051282166,21.0,32.0,24.0,25.666666666666668
cold_lbp_35_5,0.005186172937236615,0.29544236877615937,0.02653846153846174,23.0,28.0,28.0,26.333333333333332
cold_lbp_40_9,0.0046694287925092,0.2526808567838783,0.038846153846153794,27.0,34.0,20.0,27.0
cold_lbp_30_4,0.003438982812837094,0.31000451603061463,0.027000000000000142,30.0,25.0,26.0,27.0
fosforo_mg_kg,0.0033095078421938357,0.43077032985014485,0.014871794871795263,32.0,15.0,39.0,28.666666666666668
cold_lbp_40_13,0.0069302745435048,0.12453898412725306,0.05251282051282079,17.0,58.0,14.0,29.666666666666668
cold_lbp_25_5,0.003416749521661884,0.3991023839746357,0.011153846153846366,31.0,18.0,41.0,30.0
cold_lbp_30_13,0.004766581804957162,0.22059545405250125,0.02112820512820547,25.0,36.0,33.0,31.333333333333332
cold_lbp_40_6,0.0028821074835143914,0.5642927491650012,0.00658974358974406,35.0,8.0,55.0,32.666666666666664
cold_lbp_25_6,0.0020619869971653547,0.4137012466504224,0.008846153846153918,41.0,17.0,48.0,35.333333333333336
cold_lbp_25_2,0.003756413985242796,0.1406666463310513,0.02133333333333357,28.0,50.0,32.0,36.666666666666664
cold_lbp_30_6,0.003617075001381446,0.42799752729285623,0.004435897435897732,29.0,16.0,67.0,37.333333333333336
cold_lbp_35_6,0.0017099280646555583,0.33940193485111014,0.009512820512820852,47.0,23.0,45.0,38.333333333333336
cold_lbp_35_15,0.002756242845105846,0.1371745256318706,0.018846153846153773,36.0,52.0,34.0,40.666666666666664
cold_lbp_35_3,0.0018234268540472647,0.1803766001529965,0.00964102564102598,43.0,41.0,43.0,42.333333333333336
img_glcm_homogeneity_std,0.0025532747522732466,0.10543862880069987,0.03556410256410265,37.0,68.0,23.0,42.666666666666664
cold_lbp_35_11,0.005280486923406884,0.08721270828883121,0.02664102564102598,22.0,81.0,27.0,43.333333333333336
cold_lbp_25_7,0.0016248918940168252,0.21167282635277052,0.010948717948718042,49.0,39.0,42.0,43.333333333333336
img_lbp_3,0.0017947845862387164,0.34918499763786426,0.004435897435897577,44.0,21.0,68.0,44.333333333333336
cold_lbp_40_0,0.0031610584542448544,0.0960732549839689,0.017487179487179778,34.0,75.0,36.0,48.333333333333336
img_lbp_17,0.0009603107028069326,0.13604332764634952,0.01671794871794891,63.0,54.0,37.0,51.333333333333336
cold_lbp_25_13,0.0016461449062605135,0.13616889833069634,0.0061794871794875975,48.0,53.0,58.0,53.0
cold_lbp_40_12,0.002326200823681414,0.10604227615686068,0.004846153846153959,38.0,67.0,63.0,56.0
cold_lbp_25_12,0.0014385228545825439,0.0961929021047001,0.009179487179487245,53.0,73.0,46.0,57.333333333333336
img_lbp_18,0.0021535876745142945,0.058268324871346255,0.016153846153846473,40.0,102.0,38.0,60.0
cold_lbp_25_3,0.0004803217342400023,0.3378978833470583,0.003923076923076733,92.0,24.0,72.0,62.666666666666664
cold_lbp_40_11,0.0009619530719609645,0.12363600324689661,0.004435897435897562,62.0,60.0,69.0,63.666666666666664
img_lbp_6,0.0006130571776310481,0.2825666760927743,0.003615384615384842,81.0,31.0,81.0,64.33333333333333
cold_lbp_40_8,0.0021716305951393457,0.3718935884966097,0.0004615384615388685,39.0,20.0,134.0,64.33333333333333
cold_lbp_40_21,0.0007605185658131236,0.21595302383314774,0.0030512820512821706,69.0,37.0,88.0,64.66666666666667
cold_lbp_35_7,0.00043848219346066445,0.17688528483445998,0.004923076923076963,102.0,43.0,62.0,69.0
cold_lbp_25_1,0.001474680306905371,0.10708699669788979,0.0025384615384620446,50.0,64.0,98.0,70.66666666666667
cold_lbp_35_14,0.0008588992337022021,0.10617932307110345,0.0033333333333331956,65.0,66.0,84.0,71.66666666666667
cold_lbp_30_12,0.0010912085545864204,0.07084149069559653,0.004230769230769149,59.0,91.0,70.0,73.33333333333333
cold_lbp_35_2,0.001325928645486295,0.03283612215437359,0.006461538461538548,55.0,114.0,56.0,75.0
cold_lbp_25_11,0.000710621149175598,0.08949418352815397,0.0037948717948720714,72.0,78.0,75.0,75.0
cold_lbp_25_20,0.0008043681043657666,0.04864003375043757,0.0066153846153844155,67.0,107.0,54.0,76.0
cold_lbp_40_16,0.0014508431212644525,0.003854441565477318,0.008487179487179837,52.0,131.0,49.0,77.33333333333333
img_pix_percentile_count_50,0.003270407635428241,0.0,0.02212820512820557,33.0,175.0,31.0,79.66666666666667
cold_lbp_35_12,0.0004274425413628839,0.13900248462611908,0.003102564102564398,103.0,51.0,87.0,80.33333333333333
cold_lbp_25_15,0.000478848267948043,0.1052785301737047,0.0034871794871797366,93.0,69.0,82.0,81.33333333333333
cold_lbp_25_25,0.00032276559142652096,0.09638069723740972,0.006358974358974516,121.0,72.0,57.0,83.33333333333333
img_pix_percentile_count_80,0.0014715897758883726,0.0,0.025256410256410233,51.0,175.0,29.0,85.0
cold_lbp_40_10,0.0017461383685263968,0.0,0.018717948717948806,45.0,175.0,35.0,85.0
img_pix_percentile_density_50,0.0020231419633177108,0.0,0.0143076923076924,42.0,175.0,40.0,85.66666666666667
img_pix_percentile_density_80,0.0011652835861996598,0.0,0.024615384615384543,56.0,175.0,30.0,87.0
cold_lbp_30_11,0.0006799426967336686,0.08103837651465451,0.0023589743589742824,74.0,86.0,102.0,87.33333333333333
uv_intensity,0.00031486237487648295,0.0712600340169014,0.008179487179487339,122.0,90.0,51.0,87.66666666666667
img_pix_percentile_count_75,0.0008714083476081554,0.009949873787356234,0.003846153846153973,64.0,125.5,74.0,87.83333333333333
cold_lbp_40_2,0.0005699892867837261,0.042564937560446214,0.003743589743589807,83.0,108.0,77.0,89.33333333333333
cold_lbp_35_9,0.0017237505345283352,0.0,0.00910256410256413,46.0,175.0,47.0,89.33333333333333
img_lbp_15,0.0003860816735204885,0.1239859405889625,0.0020512820512821844,112.0,59.0,107.0,92.66666666666667
cold_lbp_35_25,0.0013872375660000833,0.0,0.00820512820512848,54.0,175.0,50.0,93.0
img_lbp_16,0.0005400252039908806,0.022065638668660625,0.0037948717948719977,85.0,118.0,76.0,93.0
cold_lbp_30_15,0.00028744316468613514,0.14117559251307488,0.0021538461538459066,129.0,49.0,104.0,94.0
cold_lbp_40_18,0.00045131918994187434,0.06886471460264931,0.002923076923076732,99.0,93.0,91.0,94.33333333333333
img_pix_percentile_density_75,0.0007123598968076004,0.009949873787356234,0.00297435897435927,70.0,125.5,90.0,95.16666666666667
cold_lbp_35_19,0.00045485060682147477,0.014692357495069697,0.004769230769230829,98.0,124.0,64.0,95.33333333333333
cold_lbp_40_23,0.00046833981358767305,0.06474640875327586,0.0021025641025642196,94.0,95.0,106.0,98.33333333333333
cold_lbp_30_7,0.0004825566455493031,0.2006786922817132,-0.00025641025640997425,91.0,40.0,165.0,98.66666666666667
cold_lbp_30_17,0.0010693955780645475,0.0,0.004025641025641084,60.0,175.0,71.0,102.0
cold_lbp_35_8,0.00027012301155346255,0.10955635308245126,0.0014102564102566198,132.0,62.0,113.0,102.33333333333333
cold_lbp_25_19,0.0002056952612508149,0.10496245064977794,0.0029999999999998548,152.0,70.0,89.0,103.66666666666667
cold_lbp_40_22,0.0006216229016466401,0.25618544098864193,-0.002743589743589577,79.0,33.0,201.0,104.33333333333333
cold_lbp_30_25,0.00044843500915883706,0.02562246657981171,0.002692307692307912,101.0,117.0,95.0,104.33333333333333
cold_lbp_35_17,0.0006892165199607618,0.0,0.004641025641025694,73.0,175.0,65.0,104.33333333333333
cold_lbp_40_15,0.0006268557288636628,0.0,0.006025641025641249,78.0,175.0,60.0,104.33333333333333
cold_lbp_40_7,0.000513209458242723,0.38718887013804526,-0.005589743589743638,88.0,19.0,209.0,105.33333333333333
img_pix_percentile_density_60,0.0011272022580183878,0.0,0.0033076923076922264,57.0,175.0,85.0,105.66666666666667
cold_lbp_30_1,0.00023021762601800835,0.06013499849171078,0.0036666666666668253,144.0,101.0,79.0,108.0
img_lbp_19,0.0004245421287317478,0.0,0.009589743589743582,105.0,175.0,44.0,108.0
img_pix_count_80,0.00024142126864192686,0.06367956605660763,0.002820512820513025,140.0,97.0,93.0,110.0
img_gray_median,0.00027833821852982633,0.11218348706021786,0.00023076923076909377,131.0,61.0,141.5,111.16666666666667
img_pix_percentile_count_85,0.00041933889850994115,0.0,0.007461538461538653,106.0,175.0,53.0,111.33333333333333
cold_lbp_30_23,0.00045120942074217276,0.0,0.004923076923077229,100.0,175.0,61.0,112.0
cold_lbp_40_19,0.000306127344069847,0.022008332118736318,0.002820512820512803,124.0,119.0,94.0,112.33333333333333
cold_lbp_40_1,0.0003938835882574417,0.0,0.007974358974359209,111.0,175.0,52.0,112.66666666666667
cold_lbp_25_8,0.0004989536182736544,0.12736203596166318,-0.001692307692307889,89.0,57.0,195.0,113.66666666666667
cold_lbp_35_22,0.0006316713304928861,0.0,0.0028717948717948455,77.0,175.0,92.0,114.66666666666667
cold_lbp_35_24,0.0005238756047480485,0.0,0.003333333333333314,87.0,175.0,83.0,115.0
img_gray_max,0.0003742948375838104,0.0,0.006025641025641263,113.0,175.0,59.0,115.66666666666667
img_lbp_1,0.00016731448498564366,0.07412880383166986,0.00269230769230769,164.0,89.0,96.0,116.33333333333333
cold_lbp_40_14,0.0008492527301942966,0.0,0.0016923076923076818,66.0,175.0,110.0,117.0
cold_lbp_25_10,0.00048580852072642146,0.0,0.003205128205128201,90.0,175.0,86.0,117.0
img_glcm_correlation_mean,0.000299087719039694,0.08685313643722448,0.00020512820512815408,127.0,82.0,143.0,117.33333333333333
cold_lbp_30_2,0.00040319083361788034,0.06257366814609999,5.12820512819682e-05,109.0,98.0,146.0,117.66666666666667
img_gray_iqr,0.0001349387271089565,0.1069429942190927,0.0013846153846153693,173.0,65.0,116.0,118.0
cold_lbp_40_24,0.00034350303531184345,0.0,0.0044615384615383094,115.0,175.0,66.0,118.66666666666667
img_gray_p10,0.0001276878903513516,0.14867391287308784,0.00038461538461547206,175.0,45.0,136.0,118.66666666666667
img_pix_count_180,0.00023456361821152927,0.0026700769654062206,0.0036410256410258856,142.0,134.5,80.0,118.83333333333333
cold_lbp_30_24,0.00018811127144460443,0.03973413866777453,0.002641025641025722,157.0,110.0,97.0,121.33333333333333
cold_lbp_40_17,0.00016349344978165942,0.08489512481322103,0.0011282051282051804,165.0,83.0,119.0,122.33333333333333
cold_lbp_25_23,0.0006642644124946207,0.0,0.0013589743589746443,75.0,175.0,117.0,122.33333333333333
img_lbp_14,0.00029545454545454645,0.1304333433092868,-0.001333333333333416,128.0,55.0,188.0,123.66666666666667
cold_lbp_25_9,0.00046288705988329476,0.0,0.002461538461538552,97.0,175.0,99.0,123.66666666666667
cold_lbp_35_21,0.0006571892178151997,0.0,0.0007948717948717728,76.0,175.0,127.0,126.0
img_lbp_7,0.000340693923394779,0.08462103199328408,-0.0006410256410257128,116.0,84.0,178.0,126.0
img_pix_density_130,0.0003243808594580168,0.0006382481111324445,0.0009230769230770412,120.0,137.5,123.0,126.83333333333333
cold_mean_40,0.0001193877551020416,0.10387939115548983,0.00048717948717932706,177.0,71.0,133.0,127.0
img_pix_percentile_density_70,0.00030855468280062697,0.002856824606905173,0.0007948717948718394,123.0,132.5,126.0,127.16666666666667
img_glcm_contrast_mean,0.0004056679008084692,0.028668790971992264,-0.00010256410256429908,108.0,116.0,161.0,128.33333333333334
cold_lbp_30_3,0.00019785033552422005,0.21298262766257237,-0.0015384615384615033,155.0,38.0,192.0,128.33333333333334
cold_lbp_25_22,0.0004152172721792955,0.0,0.002128205128204952,107.0,175.0,105.0,129.0
cold_median_25,0.0001466641684566055,0.14549930969848535,-0.00048717948717941586,172.0,46.0,172.0,130.0
cold_lbp_25_18,0.00026059971003031425,0.020575043185447006,0.000333333333333045,134.0,121.0,138.0,131.0
img_pix_count_100,0.0003352983821733836,0.0,0.002358974358974364,118.0,175.0,101.0,131.33333333333334
cold_area_pct_40,0.0002252624566442899,0.0,0.003897435897435882,146.0,175.0,73.0,131.33333333333334
cold_lbp_30_8,0.0005544550383281158,0.06100714587939793,-0.015871794871794753,84.0,100.0,211.0,131.66666666666666
img_pix_percentile_count_70,0.0002079787654734112,0.002856824606905173,0.0014102564102562128,149.0,132.5,115.0,132.16666666666666
img_lbp_24,0.0010138374359492594,0.008308135488079849,-0.004871794871794514,61.0,128.0,208.0,132.33333333333334
img_pix_percentile_count_90,0.00022585275060235503,0.0,0.003717948717948712,145.0,175.0,78.0,132.66666666666666
img_pix_percentile_count_95,0.0004636632930507965,0.0,0.0007948717948717506,96.0,175.0,128.0,133.0
cold_lbp_30_14,0.00021569947088332953,0.0774653357538777,-0.0003589743589742289,147.0,87.0,169.0,134.33333333333334
cold_mean_25,6.435665305043337e-05,0.14502617172534715,-0.00025641025641014447,193.0,47.0,166.0,135.33333333333334
img_gray_min,0.00011423245906004477,0.06112828542361437,0.0005384615384614728,179.0,99.0,131.0,136.33333333333334
cold_lbp_40_20,0.0005271097155622396,0.021660545594181624,-0.0032820512820511756,86.0,120.0,205.0,137.0
img_lbp_12,0.0004645648599200111,0.0,0.00017948717948711076,95.0,175.0,144.0,138.0
cold_mean_30,0.0001878838949125458,0.08925790153399982,-0.0005897435897437075,158.0,80.0,176.0,138.0
cold_lbp_25_14,7.569875776397518e-05,0.09556345495493734,5.128205128184978e-05,191.0,76.0,147.0,138.0
cold_lbp_30_9,0.0003381162074222139,0.0,0.0008974358974360053,117.0,175.0,125.0,139.0
cold_area_pct_35,0.0006213096737507642,0.0,-0.00012820512820506115,80.0,175.0,162.0,139.0
img_glcm_energy_mean,0.000573064102822773,0.0050405163550761856,-0.003999999999999819,82.0,129.0,207.0,139.33333333333334
img_gray_std,0.0002539960913551688,0.0,0.0019230769230771457,135.0,175.0,109.0,139.66666666666666
cold_lbp_25_17,0.0004006979561774001,0.0,0.0004102564102565228,110.0,175.0,135.0,140.0
cold_lbp_25_16,0.0004256541582658763,0.0,0.00023076923076909377,104.0,175.0,141.5,140.16666666666666
img_lbp_23,0.00015923234261814136,0.1431461607107205,-0.003923076923076844,168.0,48.0,206.0,140.66666666666666
img_pix_percentile_count_60,0.00025191592519251674,0.0,0.0016410256410254694,136.0,175.0,111.0,140.66666666666666
cold_area_pct_30,0.0002998870141128983,0.0,0.0010512820512823466,125.0,175.0,122.0,140.66666666666666
img_pix_percentile_density_90,0.00024095545972992692,0.0,0.0019743589743587884,141.0,175.0,108.0,141.33333333333334
img_glcm_ASM_mean,0.00021158846778826295,0.032687232582407466,-0.000256410256410596,148.0,115.0,167.0,143.33333333333334
cold_mean_35,3.929471032745592e-05,0.09612603340213166,-1.4802973661668754e-17,201.0,74.0,156.0,143.66666666666666
cold_lbp_35_23,0.00014788813378726094,0.06612164005527577,-0.0002820512820512026,171.0,94.0,168.0,144.33333333333334
img_lbp_2,0.00023158944795253074,0.01838775001369286,-0.00043589743589744024,143.0,122.0,170.0,145.0
img_lbp_8,4.5829398803903066e-05,0.0701133174855697,5.128205128204962e-05,198.0,92.0,145.0,145.0
cold_lbp_35_10,0.00018736703355305944,0.07499639499190369,-0.0014358974358973746,159.0,88.0,190.0,145.66666666666666
img_gray_mean,0.0,0.08940650858305954,0.0,207.5,79.0,151.5,146.0
cold_std_30,0.0007109468752635701,0.0,-0.0016923076923075783,71.0,175.0,194.0,146.66666666666666
img_gray_range,0.00011864100042845032,0.05563377992910845,-5.12820512819682e-05,178.0,103.0,159.0,146.66666666666666
cold_lbp_30_16,0.00025013394284007813,0.0,0.00074358974358959,137.0,175.0,129.0,147.0
cold_median_30,3.1137724550898205e-05,0.1277961794953546,-0.0008461538461538816,202.0,56.0,184.0,147.33333333333334
cold_std_35,0.0011024324344167196,0.0,-0.00899999999999992,58.0,175.0,210.0,147.66666666666666
cold_lbp_35_16,0.0007976762682610668,0.0,-0.0024615384615384113,68.0,175.0,200.0,147.66666666666666
img_pix_density_180,7.806244995996798e-05,0.0026700769654062206,0.0010769230769228865,188.0,134.5,121.0,147.83333333333334
img_lbp_13,5.388601036269431e-05,0.10764998350669597,-0.0012307692307692278,197.0,63.0,187.0,149.0
img_glcm_dissimilarity_mean,0.00020324891357626233,0.0,0.0012564102564103083,154.0,175.0,118.0,149.0
cold_median_35,9.663833744215216e-05,0.08283280953198457,-0.0006923076923076957,182.0,85.0,180.0,149.0
img_lbp_25,0.000249556342796617,0.03703400363702514,-0.0023076923076921366,138.0,111.0,199.0,149.33333333333334
img_lbp_22,0.00028304572506051586,0.015084265341132497,-0.0017179487179486955,130.0,123.0,196.0,149.66666666666666
cold_lbp_35_0,0.0001287589944406318,0.0,0.0024358974358976346,174.0,175.0,100.0,149.66666666666666
img_glcm_dissimilarity_std,0.00018319685240867538,0.0,0.0014102564102565162,161.0,175.0,114.0,150.0
img_lbp_10,0.00019638919028595674,0.0337459298455578,-0.000743589743589738,156.0,112.0,182.0,150.0
img_pix_count_130,0.00012310834245249488,0.0006382481111324445,0.00030769230769234955,176.0,137.5,139.0,150.83333333333334
cold_lbp_25_24,0.0,0.06419818957413259,0.0,207.5,96.0,151.5,151.66666666666666
img_lbp_21,9.946341981278384e-05,0.09310293470595576,-0.0019743589743589957,181.0,77.0,198.0,152.0
cold_lbp_35_18,0.00014794338891822083,0.0,0.0015128205128206451,170.0,175.0,112.0,152.33333333333334
cold_lbp_40_25,7.750188449927905e-05,0.0526958856721631,-0.0002307692307692196,189.0,105.0,164.0,152.66666666666666
cold_lbp_30_21,0.0001763200199778364,0.0,0.00110256410256393,163.0,175.0,120.0,152.66666666666666
cold_lbp_35_1,0.0001845797715403977,0.0,0.0009230769230769154,160.0,175.0,124.0,153.0
img_glcm_correlation_std,7.709901921366746e-05,0.04255075078868531,-0.00020512820512824287,190.0,109.0,163.0,154.0
cold_median_40,4.1733547351524905e-05,0.051025300801399665,-1.7763568394002506e-16,200.0,106.0,158.0,154.66666666666666
img_glcm_homogeneity_mean,0.0002064184380649577,0.0,0.00030769230769223853,150.0,175.0,140.0,155.0
cold_area_pct_25,0.0003474423240728507,0.0,-0.000743589743589627,114.0,175.0,181.0,156.66666666666666
img_pix_density_100,7.2003449856721e-05,0.0,0.0022051282051282445,192.0,175.0,103.0,156.66666666666666
img_glcm_contrast_std,0.00015981185775603207,0.0,0.00038461538461533886,166.0,175.0,137.0,159.33333333333334
cold_std_40,0.00020615222497791214,0.0,-8.141635513917814e-17,151.0,175.0,157.0,161.0
cold_lbp_30_18,0.00014902791045932198,0.004263256681353189,-0.001051282051282154,169.0,130.0,186.0,161.66666666666666
img_lbp_9,0.00010335917312661469,0.0,0.000512820512820363,180.0,175.0,132.0,162.33333333333334
cold_lbp_30_20,0.00024717238296009537,0.0,-0.0005384615384615395,139.0,175.0,174.0,162.66666666666666
img_gray_p25,7.982456140350876e-05,0.0,0.0006410256410253649,186.0,175.0,130.0,163.66666666666666
img_lbp_0,4.186364154718585e-05,0.05501307478947082,-0.0013589743589743112,199.0,104.0,189.0,164.0
img_glcm_energy_std,5.851901868107045e-05,0.008954924596407787,-0.0004615384615384984,194.0,127.0,171.0,164.0
acel_x_g,0.0003277862653271457,0.0,-0.002923076923076784,119.0,175.0,203.0,165.66666666666666
img_pix_percentile_density_95,0.000299288062505337,0.0,-0.00176923076923076,126.0,175.0,197.0,166.0
img_lbp_20,0.000269706699812477,0.0,-0.0014615384615385362,133.0,175.0,191.0,166.33333333333334
img_lbp_11,0.00018062685593908583,0.0016614207873644204,-0.0028974358974360294,162.0,136.0,202.0,166.66666666666666
cold_lbp_30_22,1.8318459370596524e-05,0.03328823414494697,-0.0010000000000001193,203.0,113.0,185.0,167.0
cold_std_25,0.00020524469688530471,0.0,-0.0008461538461536522,153.0,175.0,183.0,170.33333333333334
cold_lbp_35_20,0.00015958520916648202,0.0,-0.0006666666666668745,167.0,175.0,179.0,173.66666666666666
img_pix_percentile_density_85,5.8263305322128855e-05,0.0,-7.692307692307073e-05,195.0,175.0,160.0,176.66666666666666
cold_lbp_30_10,8.899023934438165e-05,0.0,-0.0005128205128206812,184.0,175.0,173.0,177.33333333333334
cold_lbp_30_19,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_density_50,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_count_50,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_density_80,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_density_150,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_count_150,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_gray_p90,8.84783665532319e-05,0.0,-0.0005897435897438259,185.0,175.0,177.0,179.0
cold_lbp_25_21,5.4257095158597655e-05,0.0,-0.0005641025641025014,196.0,175.0,175.0,182.0
img_glcm_ASM_std,7.971909312050455e-05,0.0,-0.001564102564102628,187.0,175.0,193.0,185.0
img_gray_p75,9.645538866029241e-05,0.0,-0.003128205128205308,183.0,175.0,204.0,187.33333333333334
