imagen,lombrices_agregadas_g,replica,img_pixeles_conteo_50,img_densidad_pct_50,img_pixeles_conteo_80,img_densidad_pct_80,img_pixeles_conteo_100,img_densidad_pct_100,img_pixeles_conteo_130,img_densidad_pct_130,img_pixeles_conteo_150,img_densidad_pct_150,img_pixeles_conteo_180,img_densidad_pct_180,img_pixeles_conteo_200,img_densidad_pct_200,img_pixeles_percentil_50,img_densidad_percentil_50,img_pixeles_percentil_60,img_densidad_percentil_60,img_pixeles_percentil_70,img_densidad_percentil_70,img_pixeles_percentil_75,img_densidad_percentil_75,img_pixeles_percentil_80,img_densidad_percentil_80,img_pixeles_percentil_85,img_densidad_percentil_85,img_pixeles_percentil_90,img_densidad_percentil_90,img_pixeles_percentil_95,img_densidad_percentil_95,img_gray_mean,img_gray_std,img_gray_min,img_gray_max,img_gray_median,img_gray_p10,img_gray_p25,img_gray_p75,img_gray_p90,img_gray_iqr,img_gray_range,img_lbp_0,img_lbp_1,img_lbp_2,img_lbp_3,img_lbp_4,img_lbp_5,img_lbp_6,img_lbp_7,img_lbp_8,img_lbp_9,img_lbp_10,img_lbp_11,img_lbp_12,img_lbp_13,img_lbp_14,img_lbp_15,img_lbp_16,img_lbp_17,img_lbp_18,img_lbp_19,img_lbp_20,img_lbp_21,img_lbp_22,img_lbp_23,img_lbp_24,img_lbp_25,img_glcm_contrast_mean,img_glcm_contrast_std,img_glcm_dissimilarity_mean,img_glcm_dissimilarity_std,img_glcm_homogeneity_mean,img_glcm_homogeneity_std,img_glcm_energy_mean,img_glcm_energy_std,img_glcm_correlation_mean,img_glcm_correlation_std,img_glcm_ASM_mean,img_glcm_ASM_std
T0G-1.jpg,0.0,1,174080,100.0,174080,100.0,173903,99.89832261029412,171355,98.43462775735294,166186,95.46530330882354,80111,46.019646139705884,0,0.0,80111,46.019646139705884,68984,39.62775735294118,44704,25.680147058823525,24529,14.090647977941176,24529,14.090647977941176,24529,14.090647977941176,5494,3.1560202205882355,5494,3.1560202205882355,176.11371208639707,13.025166549150088,96,190,180.0,162.0,174.0,185.0,186.0,11.0,94,0.030750229779411765,0.01494140625,0.016434972426470587,0.013838465073529411,0.011287913602941176,0.0125,0.010541130514705883,0.014763327205882353,0.019221047794117648,0.02446001838235294,0.03212890625,0.046564797794117645,0.04929917279411765,0.058835018382352944,0.047983685661764704,0.03807444852941176,0.02939453125,0.02834329044117647,0.01987017463235294,0.021880744485294118,0.024747242647058822,0.022616038602941178,0.02001378676470588,0.011023667279411765,0.09237132352941177,0.28811465992647056,7.223638889170857,6.09415155931406,1.5840331113895185,0.7029337775816081,0.52409454546179,0.10417504969299023,0.11813027500325757,0.01606839766953907,0.9777980482155816,0.019072528417362785,0.014212955276011713,0.003848140778233439
T10G-1.jpg,10.0,1,174080,100.0,173927,99.912109375,162623,93.41854319852942,100884,57.952665441176464,61799,35.500344669117645,18994,10.91107536764706,0,0.0,83316,47.860753676470594,68445,39.31812959558824,51623,29.654756433823533,43019,24.712201286764707,34564,19.855238970588236,26034,14.955193014705884,15745,9.044692095588236,5067,2.9107306985294117,139.6071403952206,28.09036896945506,66,188,138.0,104.0,113.0,163.0,182.0,50.0,122,0.019175091911764707,0.009018841911764705,0.009771369485294118,0.0095703125,0.009317555147058823,0.012856158088235294,0.012195542279411765,0.01962890625,0.027791819852941175,0.038264016544117645,0.04944278492647059,0.06720473345588235,0.0667336856617647,0.07791245404411765,0.058358226102941176,0.04923023897058824,0.03429457720588235,0.03317440257352941,0.020381433823529412,0.02004250919117647,0.020915670955882353,0.018474264705882353,0.01587201286764706,0.00881204044117647,0.07536764705882353,0.21619370404411764,11.100875623664422,9.385494391100934,1.8463376800087756,0.893061320155767,0.49822186400233326,0.11546320597694243,0.05908070658780502,0.008930444646964643,0.9929446203700961,0.005973435374812554,0.003570282732506806,0.0010501739663491664
T10G-2.jpg,10.0,2,174080,100.0,170910,98.17899816176471,152802,87.77688419117648,96094,55.201056985294116,30310,17.411534926470587,2037,1.1701516544117647,0,0.0,84046,48.280101102941174,64330,36.954273897058826,49199,28.26229319852941,38365,22.038717830882355,34583,19.866153492647058,25263,14.512293198529411,16624,9.549632352941176,7259,4.169921875,129.63826401654413,21.960910622692893,59,188,133.0,97.0,117.0,142.0,158.0,25.0,129,0.025448069852941176,0.013350183823529411,0.013585707720588236,0.013264016544117647,0.011603860294117647,0.013373161764705882,0.013241038602941176,0.019221047794117648,0.025206801470588236,0.03523667279411765,0.046225873161764706,0.06235064338235294,0.062316176470588236,0.07031824448529411,0.05284352022058823,0.042325367647058826,0.0298828125,0.02668313419117647,0.01804342830882353,0.017951516544117647,0.02043313419117647,0.020398667279411763,0.016544117647058824,0.009375,0.07842945772058824,0.2423483455882353,13.847532887167104,11.893870909603153,2.244354530888143,1.0595268334133148,0.44817059749889593,0.10440185181791173,0.07061727283038664,0.011028307940922855,0.9856084320012406,0.012371847135117842,0.005108422798041085,0.0015599429633926427
T10G-3.jpg,10.0,3,174080,100.0,173814,99.84719669117646,166112,95.42279411764706,122535,70.39005055147058,58558,33.638556985294116,9674,5.557215073529412,0,0.0,84578,48.58570772058823,68166,39.157858455882355,51483,29.57433363970588,38850,22.317325367647058,34729,19.950022977941178,21966,12.618336397058824,17235,9.900620404411764,8299,4.7673483455882355,140.66149471507353,22.272956274857393,73,188,139.0,113.0,123.0,157.0,173.0,34.0,115,0.025011488970588237,0.012568933823529412,0.013120404411764706,0.01150045955882353,0.01071920955882353,0.013189338235294118,0.012143841911764706,0.01708409926470588,0.023799402573529412,0.033404181985294115,0.04333065257352941,0.05603170955882353,0.056795726102941174,0.06408547794117647,0.05215992647058824,0.043784466911764706,0.03185891544117647,0.029698988970588234,0.020082720588235296,0.02024356617647059,0.022639016544117648,0.02170840992647059,0.017905560661764706,0.010196461397058824,0.08604664522058823,0.25089039522058826,10.176192139457482,8.576387210874902,1.9587151094098274,0.9144064083319295,0.48358577619371174,0.10401539536900893,0.07498363573543464,0.01134392588559012,0.989721309190042,0.008671345320726288,0.0057512302826021105,0.0016951712032003473
T10G-4.jpg,10.0,4,174080,100.0,174080,100.0,174080,100.0,174080,100.0,172223,98.93324908088236,96043,55.17176011029412,0,0.0,84586,48.59030330882353,64134,36.841681985294116,42106,24.187729779411764,42106,24.187729779411764,7849,4.508846507352941,7849,4.508846507352941,7849,4.508846507352941,7849,4.508846507352941,178.49559397977941,9.305783275473058,132,189,182.0,164.0,177.0,185.0,186.0,8.0,57,0.032927389705882354,0.01694048713235294,0.017595358455882355,0.012971047794117648,0.009340533088235294,0.010098805147058824,0.008984375,0.012339154411764705,0.016239659926470588,0.020611213235294117,0.023937270220588235,0.031094898897058822,0.030193014705882353,0.040751378676470586,0.03466796875,0.03166934742647059,0.02641888786764706,0.030118336397058822,0.021811810661764706,0.025522748161764707,0.03171530330882353,0.029693244485294118,0.02610294117647059,0.01440716911764706,0.12646484375,0.3173828125,4.837312438137763,3.841535094030664,1.2966589353620188,0.5461749575614224,0.5816018018365766,0.09446358603042879,0.16785929330323213,0.01854146844172232,0.9721760223586946,0.022057879701392422,0.028520528400235893,0.006338827588747067
T10G-5.jpg,10.0,5,174080,100.0,174080,100.0,174077,99.99827665441177,172789,99.2583869485294,168620,96.86351102941177,98650,56.66934742647059,0,0.0,82164,47.19898897058823,53308,30.62270220588235,33382,19.17624080882353,33382,19.17624080882353,33382,19.17624080882353,3438,1.974954044117647,3438,1.974954044117647,3438,1.974954044117647,178.07300091911765,10.913384734450238,100,189,182.0,164.0,176.0,185.0,186.0,9.0,89,0.021691176470588235,0.010638786764705883,0.011873851102941176,0.009386488970588235,0.008949908088235294,0.011345358455882353,0.01003561580882353,0.01389016544117647,0.019852941176470587,0.025919117647058825,0.03380629595588235,0.04846047794117647,0.051482077205882354,0.06899701286764706,0.058335248161764705,0.05022977941176471,0.039326746323529414,0.03962545955882353,0.02512637867647059,0.024115349264705883,0.024092371323529413,0.020662913602941178,0.018106617647058825,0.010282628676470588,0.10190142463235294,0.2418658088235294,8.047914391544913,7.039399300175905,1.551537376682935,0.7291250358777488,0.5576366906403704,0.10263556183887777,0.15663962257590494,0.020255425327819515,0.9658264572662579,0.030017166024430744,0.024946253615932817,0.006315189301455897
T20G-1.jpg,20.0,1,174080,100.0,174080,100.0,174000,99.95404411764706,172948,99.34972426470588,170377,97.87281709558823,107236,61.60156249999999,0,0.0,79468,45.650275735294116,61004,35.0436580882353,36485,20.958754595588236,36485,20.958754595588236,5366,3.0824908088235294,5366,3.0824908088235294,5366,3.0824908088235294,5366,3.0824908088235294,179.52330537683824,9.788197427589477,96,189,183.0,167.0,178.0,185.0,186.0,7.0,93,0.02702780330882353,0.012563189338235295,0.013953354779411765,0.012212775735294118,0.009794347426470588,0.01017922794117647,0.009231387867647059,0.012614889705882353,0.01772748161764706,0.023615579044117648,0.029331341911764706,0.043227251838235295,0.046030560661764704,0.06256893382352942,0.05218864889705882,0.04534122242647059,0.03569048713235294,0.03470243566176471,0.023627068014705883,0.02373046875,0.026815257352941175,0.02268497242647059,0.019715073529411764,0.01147173713235294,0.10055721507352941,0.27339728860294116,7.292754267817273,6.207049097341804,1.5333241878460153,0.694476000968911,0.5511923131140373,0.1002052263950555,0.16173070249977314,0.021138257755718495,0.9613730383548965,0.03306163941155577,0.026603646072017314,0.006876275184443887
T20G-2.jpg,20.0,2,174080,100.0,173224,99.50827205882354,154116,88.53170955882354,59695,34.29170496323529,8605,4.9431295955882355,1220,0.7008272058823529,0,0.0,76888,44.16819852941177,69303,39.81100643382353,45622,26.20749080882353,34470,19.80124080882353,34470,19.80124080882353,24898,14.302619485294118,12810,7.3586856617647065,8605,4.9431295955882355,122.37106502757354,17.140312238175536,68,189,120.0,98.0,113.0,135.0,142.0,22.0,121,0.022817095588235293,0.011075367647058824,0.011810661764705882,0.011173023897058824,0.010627297794117647,0.013775275735294117,0.013522518382352942,0.01911764705882353,0.02580997242647059,0.034507123161764706,0.043721277573529414,0.05663488051470588,0.05600298713235294,0.06788832720588235,0.05229779411764706,0.04497931985294118,0.032410386029411764,0.03181870404411765,0.020232077205882354,0.02109375,0.02223690257352941,0.02077205882352941,0.01803768382352941,0.010380284926470588,0.09370978860294117,0.23354779411764706,11.60794520766367,9.913376663438862,2.042208091210643,0.961689981524717,0.4843173475930526,0.10045410843861967,0.10121729670550982,0.014096425349632699,0.9799947920625941,0.01716772641585324,0.010443650360008973,0.0028290377782482423
T20G-3.jpg,20.0,3,174080,100.0,174080,100.0,173748,99.80928308823529,171062,98.26631433823529,167181,96.03687959558823,114162,65.58019301470588,0,0.0,66325,38.10029871323529,66325,38.10029871323529,37606,21.602711397058822,37606,21.602711397058822,10672,6.130514705882352,10672,6.130514705882352,10672,6.130514705882352,1156,0.6640625,178.3849379595588,13.007441244554057,96,189,184.0,163.0,178.0,185.0,186.0,7.0,93,0.038907398897058826,0.019203814338235294,0.020909926470588234,0.01808938419117647,0.013321461397058823,0.012316176470588235,0.010874310661764705,0.013131893382352941,0.017273667279411764,0.020134420955882353,0.024793198529411763,0.034363511029411764,0.03328354779411765,0.04071691176470588,0.034507123161764706,0.031474034926470586,0.02580997242647059,0.026505055147058823,0.020444623161764704,0.022369025735294118,0.027085248161764705,0.02678653492647059,0.022053079044117647,0.012879136029411764,0.09963235294117648,0.3331341911764706,7.503156504436794,6.157843549910244,1.5708558435285795,0.657130831579834,0.5240474314170599,0.09926836618232188,0.1475224597955748,0.017435002441930317,0.9771156739134063,0.019036725652107997,0.022066855454287104,0.005281599304575636
T20G-4.jpg,20.0,4,170918,98.18359375,161810,92.95151654411765,151359,86.94795496323529,135308,77.72748161764706,118245,67.92566636029412,51511,29.590418198529413,0,0.0,82944,47.647058823529406,68157,39.152688419117645,51511,29.590418198529413,43448,24.95863970588235,27463,15.776079963235295,15576,8.947610294117647,15576,8.947610294117647,3074,1.7658547794117647,154.11989889705882,37.87409038643796,31,189,173.0,92.0,136.0,182.0,185.0,46.0,158,0.021076516544117647,0.010851332720588235,0.011655560661764706,0.010678998161764706,0.010242417279411765,0.011931295955882352,0.011667049632352941,0.01640050551470588,0.0232421875,0.03380629595588235,0.04994829963235294,0.076171875,0.0872414981617647,0.09210133272058824,0.06671645220588235,0.04824793198529412,0.03315142463235294,0.028383501838235296,0.01850873161764706,0.017767693014705883,0.01758386948529412,0.016176470588235296,0.012557444852941177,0.006996783088235294,0.06725068933823529,0.1996438419117647,26.402984034381547,24.160475062099447,2.823444905189102,1.40317742523258,0.4241992127519705,0.10074329878777345,0.07495928426133348,0.010826852845290636,0.9908524535988587,0.008353202694839528,0.005736115039504976,0.0016354778486098109
T20G-5.jpg,20.0,5,174080,100.0,168191,96.61707261029412,133158,76.49241727941177,72405,41.592945772058826,41079,23.597771139705884,6510,3.7396599264705883,0,0.0,81825,47.004250919117645,68532,39.36810661764706,50951,29.268727022058822,43399,24.930491727941178,34027,19.546760110294116,25626,14.720818014705884,16281,9.35259650735294,7402,4.252068014705882,125.83527113970588,28.36833462576453,54,187,120.0,92.0,103.0,145.0,164.0,42.0,133,0.022759650735294117,0.010139016544117647,0.012166819852941177,0.011259191176470588,0.011483226102941177,0.01379250919117647,0.014326746323529411,0.020392922794117647,0.02778607536764706,0.037385110294117646,0.04693244485294118,0.06069048713235294,0.05916819852941176,0.06802619485294117,0.05276884191176471,0.04474954044117647,0.03436925551470588,0.03177849264705882,0.021645220588235294,0.020525045955882355,0.021403952205882353,0.019491038602941175,0.01611328125,0.009041819852941177,0.0837545955882353,0.22805032169117648,12.979388636032317,10.981859868591151,2.174011477465688,1.0277355402432384,0.46351747021903394,0.1033261707701401,0.06966843988673306,0.010736005981453509,0.9918827043691953,0.006885659508011801,0.004968953340685145,0.0014775709438942675
T30G-1.jpg,30.0,1,174080,100.0,174080,100.0,174080,100.0,173573,99.70875459558823,168866,97.00482536764706,63195,36.30227481617647,0,0.0,82220,47.23115808823529,63195,36.30227481617647,48803,28.03481158088235,37992,21.824448529411764,23090,13.264016544117647,23090,13.264016544117647,3984,2.2886029411764706,3984,2.2886029411764706,173.89173368566176,11.568486751177307,102,189,178.0,157.0,164.0,184.0,186.0,20.0,87,0.03167509191176471,0.014349724264705882,0.015337775735294117,0.013826976102941176,0.012459788602941177,0.01355124080882353,0.012051930147058824,0.016153492647058825,0.019806985294117646,0.024322150735294118,0.027458639705882353,0.03563878676470588,0.03356502757352941,0.045145909926470586,0.037396599264705885,0.03704618566176471,0.02998046875,0.03431755514705882,0.02346047794117647,0.025936351102941176,0.029417509191176472,0.02707950367647059,0.02274816176470588,0.01364889705882353,0.10549172794117648,0.2981330422794118,6.206253193804584,4.965868263554506,1.49538964074459,0.6424204550999586,0.5448070711546001,0.09879820650753228,0.11983792970076405,0.0157559262862892,0.9767687641021775,0.018602529724995875,0.014609378608104249,0.003796826202573884
