imagen,lombrices_agregadas_g,replica,modelo,validacion,grupo_excluido,prediccion,error,error_abs
T0G-1.jpg,0,1,Ridge,LOWO,0,10.06120285507123,-10.06120285507123,10.06120285507123
T10G-1.jpg,10,1,Ridge,LOWO,10,5.1454387530273245,4.8545612469726755,4.8545612469726755
T10G-2.jpg,10,2,Ridge,LOWO,10,8.993511858406084,1.0064881415939162,1.0064881415939162
T10G-3.jpg,10,3,Ridge,LOWO,10,11.034628793262439,-1.0346287932624385,1.0346287932624385
T10G-4.jpg,10,4,Ridge,LOWO,10,16.835458375723565,-6.835458375723565,6.835458375723565
T10G-5.jpg,10,5,Ridge,LOWO,10,14.463579772936416,-4.463579772936416,4.463579772936416
T20G-1.jpg,20,1,Ridge,LOWO,20,20.358911200656948,-0.3589112006569479,0.3589112006569479
T20G-2.jpg,20,2,Ridge,LOWO,20,17.304138168391688,2.695861831608312,2.695861831608312
T20G-3.jpg,20,3,Ridge,LOWO,20,26.053958597114523,-6.053958597114523,6.053958597114523
T20G-4.jpg,20,4,Ridge,LOWO,20,2.842371278057051,17.15762872194295,17.15762872194295
T20G-5.jpg,20,5,Ridge,LOWO,20,23.037468842719225,-3.0374688427192247,3.0374688427192247
T30G-1.jpg,30,1,Ridge,LOWO,30,26.24153626463184,3.75846373536816,3.75846373536816
T30G-2.jpg,30,2,Ridge,LOWO,30,28.61327696848085,1.3867230315191499,1.3867230315191499
T30G-3.jpg,30,3,Ridge,LOWO,30,29.762333772415676,0.23766622758432376,0.23766622758432376
T30G-4.jpg,30,4,Ridge,LOWO,30,33.458042690904165,-3.458042690904165,3.458042690904165
T30G-5.jpg,30,5,Ridge,LOWO,30,38.53094764301506,-8.530947643015061,8.530947643015061
T40G-1.jpg,40,1,Ridge,LOWO,40,41.531552042992814,-1.5315520429928142,1.5315520429928142
T40G-2.jpg,40,2,Ridge,LOWO,40,39.69337003482095,0.3066299651790487,0.3066299651790487
T40G-3.jpg,40,3,Ridge,LOWO,40,40.54827106605107,-0.5482710660510719,0.5482710660510719
T40G-4.jpg,40,4,Ridge,LOWO,40,38.83032003396162,1.1696799660383803,1.1696799660383803
T40G-5.jpg,40,5,Ridge,LOWO,40,41.62773111540254,-1.6277311154025398,1.6277311154025398
T50G-1.jpg,50,1,Ridge,LOWO,50,48.57514324366771,1.4248567563322894,1.4248567563322894
T50G-2.jpg,50,2,Ridge,LOWO,50,49.96387513058495,0.036124869415047556,0.036124869415047556
T50G-3.jpg,50,3,Ridge,LOWO,50,50.20748037746103,-0.20748037746103165,0.20748037746103165
T50G-4.jpg,50,4,Ridge,LOWO,50,44.30730285466453,5.692697145335472,5.692697145335472
T50G-5.jpg,50,5,Ridge,LOWO,50,47.82842405293542,2.171575947064582,2.171575947064582
T0G-1.jpg,0,1,SVR_RBF,LOWO,0,19.958152743848267,-19.958152743848267,19.958152743848267
T10G-1.jpg,10,1,SVR_RBF,LOWO,10,23.269891516391947,-13.269891516391947,13.269891516391947
T10G-2.jpg,10,2,SVR_RBF,LOWO,10,25.595331849522164,-15.595331849522164,15.595331849522164
T10G-3.jpg,10,3,SVR_RBF,LOWO,10,22.226454088195553,-12.226454088195553,12.226454088195553
T10G-4.jpg,10,4,SVR_RBF,LOWO,10,26.180788087970306,-16.180788087970306,16.180788087970306
T10G-5.jpg,10,5,SVR_RBF,LOWO,10,23.046460928455883,-13.046460928455883,13.046460928455883
T20G-1.jpg,20,1,SVR_RBF,LOWO,20,23.110829749455387,-3.1108297494553874,3.1108297494553874
T20G-2.jpg,20,2,SVR_RBF,LOWO,20,20.997651591534275,-0.9976515915342752,0.9976515915342752
T20G-3.jpg,20,3,SVR_RBF,LOWO,20,25.798030487048706,-5.798030487048706,5.798030487048706
T20G-4.jpg,20,4,SVR_RBF,LOWO,20,25.661643740040756,-5.6616437400407555,5.6616437400407555
T20G-5.jpg,20,5,SVR_RBF,LOWO,20,28.23650033074575,-8.236500330745748,8.236500330745748
T30G-1.jpg,30,1,SVR_RBF,LOWO,30,27.99616964050972,2.00383035949028,2.00383035949028
T30G-2.jpg,30,2,SVR_RBF,LOWO,30,26.84566510036095,3.15433489963905,3.15433489963905
T30G-3.jpg,30,3,SVR_RBF,LOWO,30,27.833806887001305,2.1661931129986947,2.1661931129986947
T30G-4.jpg,30,4,SVR_RBF,LOWO,30,23.18348192757811,6.816518072421889,6.816518072421889
T30G-5.jpg,30,5,SVR_RBF,LOWO,30,33.51640710239536,-3.5164071023953625,3.5164071023953625
T40G-1.jpg,40,1,SVR_RBF,LOWO,40,34.423423688249756,5.5765763117502445,5.5765763117502445
T40G-2.jpg,40,2,SVR_RBF,LOWO,40,38.73671749130307,1.263282508696932,1.263282508696932
T40G-3.jpg,40,3,SVR_RBF,LOWO,40,35.94370611785364,4.056293882146363,4.056293882146363
T40G-4.jpg,40,4,SVR_RBF,LOWO,40,38.3171781898165,1.6828218101834977,1.6828218101834977
T40G-5.jpg,40,5,SVR_RBF,LOWO,40,32.570491202130555,7.429508797869445,7.429508797869445
T50G-1.jpg,50,1,SVR_RBF,LOWO,50,34.06417186647662,15.93582813352338,15.93582813352338
T50G-2.jpg,50,2,SVR_RBF,LOWO,50,33.831734653609004,16.168265346390996,16.168265346390996
T50G-3.jpg,50,3,SVR_RBF,LOWO,50,37.518694784232416,12.481305215767584,12.481305215767584
T50G-4.jpg,50,4,SVR_RBF,LOWO,50,29.232764141638143,20.767235858361857,20.767235858361857
T50G-5.jpg,50,5,SVR_RBF,LOWO,50,26.0914803376971,23.9085196623029,23.9085196623029
T0G-1.jpg,0,1,RandomForest,LOWO,0,14.148333333333333,-14.148333333333333,14.148333333333333
T10G-1.jpg,10,1,RandomForest,LOWO,10,14.209047619047618,-4.2090476190476185,4.2090476190476185
T10G-2.jpg,10,2,RandomForest,LOWO,10,13.725714285714284,-3.725714285714284,3.725714285714284
T10G-3.jpg,10,3,RandomForest,LOWO,10,19.981964285714287,-9.981964285714287,9.981964285714287
T10G-4.jpg,10,4,RandomForest,LOWO,10,19.265297619047622,-9.265297619047622,9.265297619047622
T10G-5.jpg,10,5,RandomForest,LOWO,10,20.244583333333335,-10.244583333333335,10.244583333333335
T20G-1.jpg,20,1,RandomForest,LOWO,20,14.173660714285715,5.826339285714285,5.826339285714285
T20G-2.jpg,20,2,RandomForest,LOWO,20,10.806041666666667,9.193958333333333,9.193958333333333
T20G-3.jpg,20,3,RandomForest,LOWO,20,12.209434523809525,7.790565476190475,7.790565476190475
T20G-4.jpg,20,4,RandomForest,LOWO,20,11.947708333333333,8.052291666666667,8.052291666666667
T20G-5.jpg,20,5,RandomForest,LOWO,20,25.40497023809524,-5.404970238095238,5.404970238095238
T30G-1.jpg,30,1,RandomForest,LOWO,30,23.42910714285714,6.570892857142859,6.570892857142859
T30G-2.jpg,30,2,RandomForest,LOWO,30,25.111547619047613,4.888452380952387,4.888452380952387
T30G-3.jpg,30,3,RandomForest,LOWO,30,32.09535714285714,-2.0953571428571394,2.0953571428571394
T30G-4.jpg,30,4,RandomForest,LOWO,30,33.980625,-3.9806250000000034,3.9806250000000034
T30G-5.jpg,30,5,RandomForest,LOWO,30,35.567232142857144,-5.567232142857144,5.567232142857144
T40G-1.jpg,40,1,RandomForest,LOWO,40,42.8,-2.799999999999997,2.799999999999997
T40G-2.jpg,40,2,RandomForest,LOWO,40,37.454166666666666,2.5458333333333343,2.5458333333333343
T40G-3.jpg,40,3,RandomForest,LOWO,40,42.85,-2.8500000000000014,2.8500000000000014
T40G-4.jpg,40,4,RandomForest,LOWO,40,43.86875,-3.8687499999999986,3.8687499999999986
T40G-5.jpg,40,5,RandomForest,LOWO,40,43.075,-3.075000000000003,3.075000000000003
T50G-1.jpg,50,1,RandomForest,LOWO,50,33.04291666666666,16.957083333333337,16.957083333333337
T50G-2.jpg,50,2,RandomForest,LOWO,50,38.97625,11.02375,11.02375
T50G-3.jpg,50,3,RandomForest,LOWO,50,37.81625,12.183750000000003,12.183750000000003
T50G-4.jpg,50,4,RandomForest,LOWO,50,34.6575,15.342500000000001,15.342500000000001
T50G-5.jpg,50,5,RandomForest,LOWO,50,35.90125,14.098750000000003,14.098750000000003
T0G-1.jpg,0,1,GradientBoosting,LOWO,0,10.620863549607044,-10.620863549607044,10.620863549607044
T10G-1.jpg,10,1,GradientBoosting,LOWO,10,7.047933639246678,2.9520663607533217,2.9520663607533217
T10G-2.jpg,10,2,GradientBoosting,LOWO,10,8.602435209904096,1.3975647900959043,1.3975647900959043
T10G-3.jpg,10,3,GradientBoosting,LOWO,10,15.92419203840721,-5.9241920384072095,5.9241920384072095
T10G-4.jpg,10,4,GradientBoosting,LOWO,10,19.318235143136178,-9.318235143136178,9.318235143136178
T10G-5.jpg,10,5,GradientBoosting,LOWO,10,21.49492710687024,-11.49492710687024,11.49492710687024
T20G-1.jpg,20,1,GradientBoosting,LOWO,20,8.268512314531423,11.731487685468577,11.731487685468577
T20G-2.jpg,20,2,GradientBoosting,LOWO,20,7.788175474776157,12.211824525223843,12.211824525223843
T20G-3.jpg,20,3,GradientBoosting,LOWO,20,11.765075364878404,8.234924635121596,8.234924635121596
T20G-4.jpg,20,4,GradientBoosting,LOWO,20,12.867910504311826,7.132089495688174,7.132089495688174
T20G-5.jpg,20,5,GradientBoosting,LOWO,20,20.06127961279474,-0.06127961279473837,0.06127961279473837
T30G-1.jpg,30,1,GradientBoosting,LOWO,30,25.574780718363044,4.425219281636956,4.425219281636956
T30G-2.jpg,30,2,GradientBoosting,LOWO,30,23.824946271773733,6.175053728226267,6.175053728226267
T30G-3.jpg,30,3,GradientBoosting,LOWO,30,25.574780718363044,4.425219281636956,4.425219281636956
T30G-4.jpg,30,4,GradientBoosting,LOWO,30,29.48265991177883,0.5173400882211716,0.5173400882211716
T30G-5.jpg,30,5,GradientBoosting,LOWO,30,28.716905713971403,1.2830942860285965,1.2830942860285965
T40G-1.jpg,40,1,GradientBoosting,LOWO,40,42.16802953053716,-2.1680295305371615,2.1680295305371615
T40G-2.jpg,40,2,GradientBoosting,LOWO,40,42.16802953053716,-2.1680295305371615,2.1680295305371615
T40G-3.jpg,40,3,GradientBoosting,LOWO,40,42.16802953053716,-2.1680295305371615,2.1680295305371615
T40G-4.jpg,40,4,GradientBoosting,LOWO,40,44.976473771049946,-4.976473771049946,4.976473771049946
T40G-5.jpg,40,5,GradientBoosting,LOWO,40,40.38022029477706,-0.380220294777061,0.380220294777061
T50G-1.jpg,50,1,GradientBoosting,LOWO,50,34.83756375726778,15.16243624273222,15.16243624273222
T50G-2.jpg,50,2,GradientBoosting,LOWO,50,39.51077569179204,10.489224308207959,10.489224308207959
T50G-3.jpg,50,3,GradientBoosting,LOWO,50,39.51077569179204,10.489224308207959,10.489224308207959
T50G-4.jpg,50,4,GradientBoosting,LOWO,50,39.51077569179204,10.489224308207959,10.489224308207959
T50G-5.jpg,50,5,GradientBoosting,LOWO,50,39.51077569179204,10.489224308207959,10.489224308207959
T0G-1.jpg,0,1,CatBoost,LOWO,0,15.144575855900523,-15.144575855900523,15.144575855900523
T10G-1.jpg,10,1,CatBoost,LOWO,10,17.414122052767606,-7.414122052767606,7.414122052767606
T10G-2.jpg,10,2,CatBoost,LOWO,10,16.649759770996777,-6.649759770996777,6.649759770996777
T10G-3.jpg,10,3,CatBoost,LOWO,10,18.400632116426394,-8.400632116426394,8.400632116426394
T10G-4.jpg,10,4,CatBoost,LOWO,10,24.61063083129517,-14.610630831295168,14.610630831295168
T10G-5.jpg,10,5,CatBoost,LOWO,10,22.738331070290663,-12.738331070290663,12.738331070290663
T20G-1.jpg,20,1,CatBoost,LOWO,20,14.10580977009829,5.89419022990171,5.89419022990171
T20G-2.jpg,20,2,CatBoost,LOWO,20,11.279678782205906,8.720321217794094,8.720321217794094
T20G-3.jpg,20,3,CatBoost,LOWO,20,10.88051013050411,9.11948986949589,9.11948986949589
T20G-4.jpg,20,4,CatBoost,LOWO,20,13.120040806916823,6.879959193083177,6.879959193083177
T20G-5.jpg,20,5,CatBoost,LOWO,20,27.579496002370018,-7.579496002370018,7.579496002370018
T30G-1.jpg,30,1,CatBoost,LOWO,30,27.78996915304029,2.210030846959711,2.210030846959711
T30G-2.jpg,30,2,CatBoost,LOWO,30,30.90436099597209,-0.9043609959720911,0.9043609959720911
T30G-3.jpg,30,3,CatBoost,LOWO,30,36.0763718890622,-6.076371889062202,6.076371889062202
T30G-4.jpg,30,4,CatBoost,LOWO,30,34.06454673726179,-4.064546737261793,4.064546737261793
T30G-5.jpg,30,5,CatBoost,LOWO,30,38.121086017883584,-8.121086017883584,8.121086017883584
T40G-1.jpg,40,1,CatBoost,LOWO,40,40.39211610426199,-0.3921161042619872,0.3921161042619872
T40G-2.jpg,40,2,CatBoost,LOWO,40,39.753469642529396,0.24653035747060414,0.24653035747060414
T40G-3.jpg,40,3,CatBoost,LOWO,40,40.85552568964249,-0.8555256896424908,0.8555256896424908
T40G-4.jpg,40,4,CatBoost,LOWO,40,43.37025359566829,-3.370253595668288,3.370253595668288
T40G-5.jpg,40,5,CatBoost,LOWO,40,39.99861773258249,0.0013822674175116845,0.0013822674175116845
T50G-1.jpg,50,1,CatBoost,LOWO,50,33.352915682455574,16.647084317544426,16.647084317544426
T50G-2.jpg,50,2,CatBoost,LOWO,50,35.91293507520541,14.08706492479459,14.08706492479459
T50G-3.jpg,50,3,CatBoost,LOWO,50,37.455896649788635,12.544103350211365,12.544103350211365
T50G-4.jpg,50,4,CatBoost,LOWO,50,32.14260164495715,17.857398355042847,17.857398355042847
T50G-5.jpg,50,5,CatBoost,LOWO,50,32.254541150993425,17.745458849006575,17.745458849006575
